Zip Code,Total Population,Median Age,Total Males,Total Females,Total Households,Average Household Size
91321,34882,33,17402,17480,11215,3
91324,27669,36,13545,14124,9289,2
91325,32417,35,15819,16598,11825,2
91326,33708,42,16394,17314,11770,2
91330,2702,19,1103,1599,2,2
91331,103689,29,52358,51331,22465,4
91335,74363,35,36596,37767,22855,3
91340,34188,30,17130,17058,8176,4
91342,91725,31,45786,45939,23543,3
91343,60254,32,30145,30109,16802,3
91344,51747,41,25212,26535,16872,3
91345,18496,35,9110,9386,5192,3
91350,33348,36,16270,17078,10991,3
91351,32362,33,16086,16276,10036,3
91352,47807,32,23980,23827,11985,3
91354,28722,36,14046,14676,9522,3
91355,32605,38,15773,16832,12772,2
91356,29458,41,14216,15242,11686,2
91361,20438,47,9854,10584,8374,2
91362,36045,42,17562,18483,13563,2
91364,25851,44,12739,13112,10409,2
91367,39499,41,19171,20328,16697,2
91377,13811,41,6641,7170,5158,2
91381,20158,36,9852,10306,6636,3
91384,29855,32,18503,11352,6925,3
91387,40328,33,20106,20222,12871,3
91390,19786,40,9911,9875,6369,3
91401,39285,36,19613,19672,14380,2
91402,69817,30,35095,34722,18194,3
91403,23484,39,11277,12207,11358,2
91405,51145,32,25498,25647,16256,3
91406,51558,33,25956,25602,17042,3
91411,24628,33,12495,12133,9177,2
91423,30991,39,14789,16202,14876,2
91436,14372,46,6890,7482,5552,2
91501,20849,38,10040,10809,8235,2
91502,11371,36,5402,5969,5001,2
91504,24939,38,12006,12933,9180,2
91505,30778,38,15121,15657,13180,2
91506,18904,40,9115,9789,7555,2
91601,37180,32,18932,18248,15970,2
91602,17473,38,8722,8751,9277,1
91604,29034,40,14271,14763,14292,2
91605,56343,31,28417,27926,15357,3
91606,44958,34,22376,22582,14903,3
91607,27927,38,13635,14292,12859,2
91608,0,0,0,0,0,0
91702,59705,29,29486,30219,15455,3
91706,76571,30,37969,38602,17504,4
91709,74796,36,36954,37842,22940,3
91710,80358,33,42283,38075,21952,3
91711,35705,38,16777,18928,11868,2
91722,34409,34,16859,17550,10079,3
91723,18275,35,8783,9492,6296,2
91724,26184,37,12780,13404,8508,3
91731,29591,32,14888,14703,8007,3
91732,61386,31,30755,30631,14700,4
91733,43896,30,22191,21705,9918,4
91740,25356,38,12269,13087,8376,2
91741,25824,41,12498,13326,9126,2
91744,85040,30,42564,42476,18648,4
91745,54013,40,26287,27726,16188,3
91746,30485,32,15116,15369,6743,4
91748,45406,39,22368,23038,13311,3
91750,33249,42,15881,17368,11944,2
91754,32742,42,15620,17122,11193,2
91755,27496,43,13271,14225,8760,3
91759,476,47,239,237,216,2
91763,36375,30,18099,18276,9450,3
91765,46457,40,22702,23755,15039,3
91766,71599,28,36111,35488,17708,4
91767,48068,31,23685,24383,13691,3
91768,34537,27,17509,17028,7885,3
91770,62097,38,30521,31576,16588,3
91773,33119,42,15737,17382,11941,2
91775,23988,41,11448,12540,8227,2
91776,38475,39,18751,19724,11776,3
91780,34332,41,16438,17894,11318,3
91784,25938,44,12729,13209,8934,2
91786,51165,33,24516,26649,18087,2
91789,43079,42,20988,22091,12891,3
91790,44907,35,21721,23186,12751,3
91791,32414,38,15512,16902,10236,3
91792,30854,35,14950,15904,9154,3
91801,52735,39,24833,27902,19315,2
91803,30322,39,14486,15836,9894,3
92301,32725,25,16857,15868,8132,3
92371,16763,37,8565,8198,5370,3
92372,6220,41,3136,3084,2198,2
92397,4894,44,2522,2372,1998,2
92821,35533,38,17338,18195,13062,2
92823,3613,38,1757,1856,1154,3
92833,51767,36,25643,26124,15849,3
93040,2031,29,1052,979,522,3
93063,54366,39,26592,27774,18650,2
93225,5077,44,2585,2492,2080,2
93243,1699,40,884,815,623,2
93252,4176,38,3301,875,647,2
93510,7993,45,4086,3907,2729,2
93523,3074,27,1531,1543,1056,2
93532,2932,41,1642,1290,1079,2
93534,39341,31,18601,20740,14038,2
93535,72046,28,34879,37167,20672,3
93536,70918,34,37804,33114,20964,3
93543,13033,32,6695,6338,3560,3
93544,1259,52,689,570,569,2
93550,74929,27,36414,38515,20864,3
93551,50798,37,25056,25742,15963,3
93552,38158,28,18711,19447,9690,3
93553,2138,43,1121,1017,816,2
93560,18910,32,9491,9419,6469,2
93563,388,44,263,125,103,2
93591,7285,30,3653,3632,1982,3
